101_1.wsq: is A; nn: hyp R, conf 0.58; conup n; hyp R, conf 0.58; wrong
105_1.wsq: is A; nn: hyp L, conf 0.77; conup n; hyp L, conf 0.77; wrong
105_2.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
105_3.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
105_4.wsq: is A; nn: hyp L, conf 0.92; conup n; hyp L, conf 0.92; wrong
105_5.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
105_6.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
105_7.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
105_8.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
106_1.wsq: is A; nn: hyp R, conf 0.94; conup n; hyp R, conf 0.94; wrong
106_2.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
106_3.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
106_4.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
106_5.wsq: is A; nn: hyp R, conf 0.49; conup n; hyp R, conf 0.49; wrong
106_6.wsq: is A; nn: hyp R, conf 0.98; conup n; hyp R, conf 0.98; wrong
106_7.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
106_8.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
107_1.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
107_2.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
107_3.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
107_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
107_5.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
107_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
107_7.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
107_8.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
108_1.wsq: is A; nn: hyp L, conf 0.83; conup n; hyp L, conf 0.83; wrong
108_2.wsq: is A; nn: hyp L, conf 0.85; conup n; hyp L, conf 0.85; wrong
108_3.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
108_4.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
108_5.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
108_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
108_7.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
108_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
109_1.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
109_2.wsq: is A; nn: hyp W, conf 0.83; conup y; hyp W, conf 1.00; wrong
109_3.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
109_4.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
109_5.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
109_6.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
109_7.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
109_8.wsq: is A; nn: hyp W, conf 0.92; conup y; hyp W, conf 1.00; wrong
110_1.wsq: is A; nn: hyp W, conf 0.55; conup y; hyp W, conf 1.00; wrong
110_2.wsq: is A; nn: hyp W, conf 0.89; conup y; hyp W, conf 1.00; wrong
110_3.wsq: is A; nn: hyp W, conf 0.97; conup y; hyp W, conf 1.00; wrong
110_4.wsq: is A; nn: hyp W, conf 0.92; conup y; hyp W, conf 1.00; wrong
110_5.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
110_6.wsq: is A; nn: hyp W, conf 0.84; conup y; hyp W, conf 1.00; wrong
110_7.wsq: is A; nn: hyp W, conf 0.78; conup y; hyp W, conf 1.00; wrong
110_8.wsq: is A; nn: hyp W, conf 0.92; conup y; hyp W, conf 1.00; wrong

pct error: 100.00

          A           L           R           S           T           W 
A     0(  0.0)   41( 51.2)   23( 28.8)    0(  0.0)    0(  0.0)   16( 20.0)
L     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
R     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
S     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
T     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
W     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
